genus,species,metabolic_rate (W/kg),wet_cell_mass_Makarieva (10^-12 grams),wet_cell_mass_Makarieva (ng),metabolic_rate (J/(h kg)),metabolic_rate_Makarieva (Log10[J/h]),wet_cell_mass_Trickovic (ng),metabolic_rate_Trickovic (Log10[J/h]),metabolic_rate_q10_Trickovic (Log10[J/h]),metabolic_rate_q10 (J/(h um^3)),temperature (C),shape,D_external,L_external,Dh_external,P_external,V_external,S_external,D_internal,L_internal,Dh_external,P_external,V_internal,S_internal,rate_link,rate_title,rate_details,rate_comment,size_link,size_title,size_details,size_comment,extra_calculations,extra_calculations,extra_calculations,original_units,conversion_factors,conversion_factors,conversion_factors,conversion_factors,,,,,
Mycobacterium,phlei,132.906634,,,478463.8825,,0.003936390656,-8.725052648,-9.401550663,-9.548373697,37,rod,0.849,3.191,,,1.646264693,8.511074012,0.789,3.131,,,1.402242206,7.760861686,Tepper1968,"Tepper, B.S., 1968. Differences in the utilization of glycerol and glucose by Mycobacterium phlei. Journal of bacteriology, 95(5), pp.1713-1717.",,Glycerol,Beveridge1990,"Beveridge, T.J., 1990. Mechanism of gram variability in select bacteria. Journal of bacteriology, 172(3), pp.1609-1620.",p. 1612; Figure 2,,We first converted umol O2/mg N/h to uL O2/g/h (see cell on the right),119.6159706,,umol O2/(h*mg N),0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Bacillus,megaterium,604.8432978,,,2177435.872,,0.007235739854,-7.802571682,-8.399481695,-8.851068783,35,rod,1.25,3,,,3.170226962,11.78097245,1.19,2.94,,,2.828701283,10.99117606,Castric1969,"Castric, P.A., 1969. Cyanide assimilation by Bacillus megaterium.",p. 22; Table 1,TSB,Castric1969,"Castric, P.A., 1969. Cyanide assimilation by Bacillus megaterium.",p. 14,,"In column on the right, we have calculated that 5.98 nmol O2/sec/mg equals 0.151 uL O2/sec/mg, using ideal gas law. Parameters used: R=8.3145 J/(mol K), T=308.15 K. Conversion factors used: 1 J=0.00987 L*atm, 1 nmol=10^-9 mol, 1 L=10^6 uL.",0.1512108244,,nmol O2/(mg dw*s),,,,,,,,,
Micrococcus,luteus,22.42222222,,,80720,,0.002257344573,-9.73942099,-10.336331,-10.22604418,35,sphere,1.2,,,,0.9047786842,4.523893421,1.14,,,,0.7757346244,4.082813813,Nunheimer1942,"Nunheimer, T.D. and Fabian, F.W., 1942. Respiratory studies of the micrococci. Journal of Bacteriology, 44(2), pp.215-232.",p. 219; Table 2,"Sucrose; p. 218 indicats that respiration rate was corrected to a standard temperature, so we are not applying Q10 correction",average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,mm^3 O2/(mg N*h),1 uL/(mm^3),0.1 mg N/mg dw,0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,0.1 kg N/kg dw,0.001 mL/mm^3
Micrococcus,flavus,47.66666667,,,171600,,0.0008633964734,-9.829272446,-10.42618246,-9.838062355,35,sphere,0.85,,,,0.3215550981,2.269800692,0.79,,,,0.2581546167,1.960667975,Nunheimer1942,"Nunheimer, T.D. and Fabian, F.W., 1942. Respiratory studies of the micrococci. Journal of Bacteriology, 44(2), pp.215-232.",p. 219; Table 2,"Succinate; p. 218 indicats that respiration rate was corrected to a standard temperature, so we are not applying Q10 correction",Parte2012,"Bergey's Manual of Systematic Bacteriology : Volume 5: the Actinobacteria, edited by Aidan Parte, et al., Springer New York, 2012.",p. 576,,,,,mm^3 O2/(mg N*h),1 uL/(mm^3),0.1 mg N/mg dw,0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,0.1 kg N/kg dw,0.001 mL/mm^3
Micrococcus,aurantiacus,43.37777778,,,156160,,,,,,35,,,,,,,,,,,,,,Nunheimer1942,"Nunheimer, T.D. and Fabian, F.W., 1942. Respiratory studies of the micrococci. Journal of Bacteriology, 44(2), pp.215-232.",p. 219; Table 2,"Sucrose; p. 218 indicats that respiration rate was corrected to a standard temperature, so we are not applying Q10 correction",,,,,,,,mm^3 O2/(mg N*h),1 uL/(mm^3),0.1 mg N/mg dw,0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,0.1 kg N/kg dw,0.001 mL/mm^3
Micrococcus,cinnebareus,68.16666667,,,245400,,,,,,35,,,,,,,,,,,,,,Nunheimer1942,"Nunheimer, T.D. and Fabian, F.W., 1942. Respiratory studies of the micrococci. Journal of Bacteriology, 44(2), pp.215-232.",p. 219; Table 2,"Glutamate; p. 218 indicats that respiration rate was corrected to a standard temperature, so we are not applying Q10 correction",,,,,,,,mm^3 O2/(mg N*h),1 uL/(mm^3),0.1 mg N/mg dw,0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,0.1 kg N/kg dw,0.001 mL/mm^3
Micrococcus,freudenreichii,61.38888889,,,221000,,0.00937325263,-8.683717404,-9.280627417,-9.863031229,35,sphere,2,,,,4.188790205,12.56637061,1.94,,,,3.822995723,11.82369811,Nunheimer1942,"Nunheimer, T.D. and Fabian, F.W., 1942. Respiratory studies of the micrococci. Journal of Bacteriology, 44(2), pp.215-232.",p. 219; Table 2,"Ethanol; p. 218 indicats that respiration rate was corrected to a standard temperature, so we are not applying Q10 correction",Bergen1970,"Bergan, T., Bøvre, K. and Hovig, B., 1970. Present status of the species Micrococcus freudenreichii Guillebeau 1891. International Journal of Systematic and Evolutionary Microbiology, 20(3), pp.249-254.",p. 249,,,,,mm^3 O2/(mg N*h),1 uL/(mm^3),0.1 mg N/mg dw,0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,0.1 kg N/kg dw,0.001 mL/mm^3
Wolbachia,persica,31.22222222,,,112400,,0.0003270598696,-10.43460643,-11.11110444,-10.02728435,37,sphere,0.6,,,,0.1130973355,1.130973355,0.54,,,,0.0824479576,0.9160884178,Weiss1962,"Weiss, E., Myers, W.F., Suitor Jr, E.C. and Neptune Jr, E.M., 1962. Respiration of a rickettsialike microorganism, Wolbachia persica. The Journal of Infectious Diseases, pp.155-164.",p. 160; Table 4,Glucose,Suitor1961,"Suitor Jr, E.C. and Weiss, E., 1961. Isolation of a rickettsialike microorganism (Wolbachia persica, n. sp.) from Argas persicus (Oken). The Journal of infectious diseases, pp.95-106.",p. 106,,,,,uL O2/(mg dw*h),0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Rickettsia,prowazeki,11.55185185,,,41586.66667,,0.000191642173,-11.0985548,-11.66760901,-10.25761983,34.3,rod,0.3,1,,,0.06361725124,0.9424777961,0.24,0.94,,,0.03890548342,0.7087433026,Bovarnick1949,"Bovarnick, M.R. and Snyder, J.C., 1949. Respiration of typhus rickettsiae. The Journal of Experimental Medicine, 89(6), pp.561-565.",p. 563; Table 1,Glutamate,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,uL O2/(mL suspension*h),0.75 mg N/mL suspension,0.1 mg N/mg dw,0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,
Rickettsia,quintana,18.88888889,,,68000,,0.0004059455033,-10.55902335,-11.23552137,-10.21477389,37,rod,0.35,1.6,,,0.1427133913,1.759291886,0.29,1.54,,,0.09533503247,1.403035279,Huang1967,"Huang, K.Y., 1967. Metabolic activity of the trench fever rickettsia, Rickettsia quintana. Journal of Bacteriology, 93(3), pp.853-859.",p. 855,Succinate,Ito1965,"Ito, S. and Vinson, J.W., 1965. Fine structure of Rickettsia quintana cultivated in vitro and in the louse. Journal of Bacteriology, 89(2), pp.481-495.",p. 484,,,,,uL O2/(mg protein*h),0.5 mg protein/mg dw,0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,
Bordetella,pertussis,111.1111111,,,400000,,0.00008886330113,-10.44921757,-11.12571558,-9.299848496,37,rod,0.25,0.65,,,0.02781618495,0.5105088062,0.19,0.59,,,0.01493251348,0.3521725365,Rowatt1955,"Rowatt, E., 1955. Amino acid metabolism in the genus Bordetella. Microbiology, 13(3), pp.552-560.",p. 556,Glutamate,Guiso2015,"Guiso, N., 2015. Bordetella pertussis. In Molecular Medical Microbiology (pp. 1507-1527). Academic Press.",p. 1510,,,,,uL O2/(mg dw*h),0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Bordetella,parapertussis,111.1111111,,,,,,,,,37,rod,,,,,,,,,,,,,Rowatt1955,"Rowatt, E., 1955. Amino acid metabolism in the genus Bordetella. Microbiology, 13(3), pp.552-560.",p. 556,Glutamate,,,,,,,,uL O2/(mg dw*h),0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Bordetella,bronchiseptica,144.4444444,,,520000,,0.0006323236433,-9.483057235,-10.15955525,-9.388547871,37,rod,0.4666666667,1.5,,,0.2299568252,2.199114858,0.4066666667,1.44,,,0.1694309012,1.839716658,Rowatt1955,"Rowatt, E., 1955. Amino acid metabolism in the genus Bordetella. Microbiology, 13(3), pp.552-560.",p. 556,Glutamate,Richter1967,"Richter, G.W. and Kress, Y., 1967. Electron microscopy of a strain of Bordetella bronchiseptica. Journal of Bacteriology, 94(4), pp.1216-1224.",p. 1218,,,,,uL O2/(mg dw*h),0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Shewanella,oneidensis,,,,,,,-8.258697499,-8.417873503,-8.674739556,24,rod,0.9,3.6,,,2.099369291,10.1787602,0.84,3.54,,,1.806616838,9.341839915,Riedel2013,"Riedel, T.E., Berelson, W.M., Nealson, K.H. and Finkel, S.E., 2013. Oxygen consumption rates of bacteria under nutrient-limited conditions. Applied and environmental microbiology, 79(16), pp.4921-4931.",p. 4929; Figure 4,"LB/5, maximal metabolic rate during exponential phase",Riedel2013,"Riedel, T.E., Berelson, W.M., Nealson, K.H. and Finkel, S.E., 2013. Oxygen consumption rates of bacteria under nutrient-limited conditions. Applied and environmental microbiology, 79(16), pp.4921-4931.",Table S1,,,,,,,,,,,,,,
Marinobacter,aquaeolei,,,,,,,-8.661697499,-8.820873503,-9.329460169,24,rod,1.2,3.6,,,3.619114737,13.57168026,1.14,3.54,,,3.225422912,12.67821131,Riedel2013,"Riedel, T.E., Berelson, W.M., Nealson, K.H. and Finkel, S.E., 2013. Oxygen consumption rates of bacteria under nutrient-limited conditions. Applied and environmental microbiology, 79(16), pp.4921-4931.",p. 4929; Figure 4,"LB/5, maximal metabolic rate during exponential phase",Riedel2013,"Riedel, T.E., Berelson, W.M., Nealson, K.H. and Finkel, S.E., 2013. Oxygen consumption rates of bacteria under nutrient-limited conditions. Applied and environmental microbiology, 79(16), pp.4921-4931.",Table S1,,,,,,,,,,,,,,
Azotobacter,vinelandii,165.8386825,,,597019.2568,,0.02288121987,-7.864532486,-8.262472495,-9.270700792,30,rod,2.05,4,,,10.94710868,25.76105976,1.99,3.94,,,10.19126976,24.63197136,Diaz-Barrera2011,"Díaz-Barrera, A., Aguirre, A., Berrios, J. and Acevedo, F., 2011. Continuous cultures for alginate production by Azotobacter vinelandii growing at different oxygen uptake rates. Process Biochemistry, 46(9), pp.1879-1883.",p. 1881; Table 2,"Glucose, high agitation rate",Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 402,,We first converted mmol O2/g/h to mL O2/g/h (see cell on the right),149.2548142,,mmol O2/g/h,,10^3 g/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Azotobacter,beijerinckii,1475.555556,,,5312000,,0.02754772472,-6.834656199,-7.232596208,-8.32967669,30,rod,2.2,4.25,,,13.36800034,29.37389131,2.14,4.19,,,12.50490745,28.16940469,Senior1972,"Senior, P.J., Beech, G.A., Ritchie, G.A.F. and Dawes, E.A., 1972. The role of oxygen limitation in the formation of poly-β-hydroxybutyrate during batch and continuous culture of Azotobacter beijerinckii. Biochemical Journal, 128(5), pp.1193-1201.",p. 1200; Table 3,"Glucose, high dilution rate. Difficult to measure O2 uptake rate, so they focused on rate of CO2 production. Given that it doesn't metabolize glucose anaerobically, authors have assumed that these two rates are equal (pp. 1195-1996). So, we use CO2 production rate as the O2 uptake rate.",Amaresan2020,"Amaresan, N., Kumar, M.S., Annapurna, K., Kumar, K. and Sankaranarayanan, A. eds., 2020. Beneficial microbes in agro-ecology: bacteria and fungi. Academic Press.",p. 402; Table 19.1,,,,,uL CO2/mg/h,,,,,,,,,
Acinetobacter,calcoaceticus,497.5547292,,,1791197.025,,0.001759699562,-8.501418115,-8.899358123,-8.664342993,30,rod,0.9375,1.315,,,0.6920170829,3.872994693,0.8775,1.255,,,0.5820829385,3.45971818,Hardy1985,"HARDY, G.A. and DAWES*, E.A., 1985. Effect of oxygen concentration on the growth and respiratory efficiency of Acinetobacter calcoaceticus. Microbiology, 131(4), pp.855-864.",p. 858; Figure 1A,Highest dilution rate,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,We first converted mmol O2/g/h to mL O2/g/h (see cell on the right),447.7992563,,mmol O2/g/h,,10^3 g/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Brevibacterium,lactofermentum,199.0218917,,,716478.8101,,,,,,30,rod,,,,,,,,,,,,,Skjerdal1995,"Skjerdal, O.T., Sletta, H., Flenstad, S.G., Josefsen, K.D., Levine, D.W. and Ellingsen, T.E., 1995. Changes in cell volume, growth and respiration rate in response to hyperosmotic stress of NaCl, sucrose and glutamic acid in Brevibacterium lactofermentum and Corynebacterium glutamicum. Applied microbiology and biotechnology, 43, pp.1099-1106.",p. 1103; Table 2,Unstressed state,,,,,,179.1197025,,mmol CO2/g/h,,10^3 g/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Corynebacterium,glutamicum,113.3319106,,,407994.878,,0.002417642816,-9.005953151,-9.403893159,-9.318683954,30,rod,0.85,2,,,0.9741227971,5.340707511,0.79,1.94,,,0.8218466596,4.814804901,Skjerdal1995,"Skjerdal, O.T., Sletta, H., Flenstad, S.G., Josefsen, K.D., Levine, D.W. and Ellingsen, T.E., 1995. Changes in cell volume, growth and respiration rate in response to hyperosmotic stress of NaCl, sucrose and glutamic acid in Brevibacterium lactofermentum and Corynebacterium glutamicum. Applied microbiology and biotechnology, 43, pp.1099-1106.",p. 1103; Table 2,Unstressed state,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,101.9987195,,mmol CO2/g/h,,10^3 g/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Alcaligenes,faecalis,199.0064189,,,716423.1082,,0.002417642816,-8.761438276,-9.159378285,-9.074169079,30,rod,0.85,2,,,0.9741227971,5.340707511,0.79,1.94,,,0.8218466596,4.814804901,VanNiel1992,"Van Niel, E.W.J., Braber, K.J., Robertson, L.A. and Kuenen, J.G., 1992. Heterotrophic nitrification and aerobic denitrification in Alcaligenes faecalis strain TUD. Antonie van Leeuwenhoek, 62, pp.231-237.",p. 233; Figure 1,,Busse2015,"Busse, H.J. and Auling, G., 2015. Alcaligenes. Bergey's Manual of Systematics of Archaea and Bacteria, pp.1-14.",,"Type species, so size taken from the description of the genus",We first converted nmol O2/mg prot/min to uL O2/mg dw/h (see cell on the right),179.1057771,,nmol O2/(mg prot*min),,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Burkholderia,cepacia,23.38325423,,,84179.71522,,0.002062510711,-9.760396335,-10.15833634,-9.994196307,30,rod,0.8,1.9,,,0.8210028801,4.775220833,0.74,1.84,,,0.6852672279,4.277592557,Urgun-Demitras2004,"Urgun‐Demirtas, M., Pagilla, K.R. and Stark, B.C., 2004. Enhanced kinetics of genetically engineered Burkholderia cepacia: the role of vgb in the hypoxic metabolism of 2‐CBA. Biotechnology and bioengineering, 87(1), pp.110-118.",p. 115; Table 2,Fastest dilution rate,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,We first converted nmol O2/mg prot/min to uL O2/mg dw/h (see cell on the right),21.0449288,,nmol O2/(mg prot*min),,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Bacillus,thuringiensis,248.7580237,,,895528.8853,,0.004270583608,-8.417433173,-8.815373181,-9.003846834,30,rod,0.9,3.125,,,1.797187347,8.835729338,0.84,3.065,,,1.543382789,8.088344446,Rowe2003,"Rowe, G.E., Margaritis, A. and Wei, N., 2003. Specific oxygen uptake rate variations during batch fermentation of Bacillus thuringiensis subspecies kurstaki HD‐1. Biotechnology progress, 19(5), pp.1439-1443.",p. 1441,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,Convert mmol/g/h to uL/mg/h,223.8822213,,mmol O2/(g*h),,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Paracoccus,denitrificans,109.4535304,,,394032.7095,,0.001012496658,-9.399074127,-9.797014135,-9.288850616,30,sphere,0.9,,,,0.3817035074,2.544690049,0.84,,,,0.3103390887,2.216707776,VanSpanning1997,"Van Spanning, R.J., De Boer, A.P., Reijnders, W.N., Westerhoff, H.V., Stouthamer, A.H. and Van Der Oost, J., 1997. FnrP and NNR of Paracoccus denitrificans are both members of the FNR family of transcriptional activators but have distinct roles in respiratory adaptation in response to oxygen limitation. Molecular microbiology, 23(5), pp.893-907.",p. 897; Table 3,"Aerobically grown, without inhibitor",average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,Convert nmol/mg prot/sec to uL/mg/h,98.50817738,,nmol O2/(mg prot*s),,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Staphylococcus,aureus,,,,,,,-8.639936999,-9.316435014,-8.773693547,37,sphere,0.878,,,,0.3543905805,2.421803511,0.818,,,,0.2865883508,2.102115043,Ahn1964,"Ahn, T.H., Nishihara, H., Carpenter, C.M. and Taplin, G.V., 1964. Viability and metabolism of Staphylococcus aureus after freezing, lyophilization, and irradiation. Journal of bacteriology, 88(3), pp.545-552.",p. 546; Table 1,Averaged across highest oxygen uptake rates for each strain,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,uL O2/(cell*h),,20 J/(mL O2),,,,,,,
Agrobacterium,tumefaciens,466.7763081,,,1680394.709,,0.002470189751,-8.381858379,-8.700210386,-8.622311007,28,rod,0.8,2.25,,,0.9969320687,5.654866776,0.74,2.19,,,0.8357966399,5.091265054,Leth2017,"Leth, I.K. and McDonald, K.A., 2017. Growth kinetics and scale-up of Agrobacterium tumefaciens. Applied microbiology and biotechnology, 101, pp.4895-4903.",p. 4900; Table 1,YEP,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,Convert mmol O2/(mg*h) to uL O2/mg/h,420.0986773,,mmol O2/(mg*h),,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
Pelagibacter,ubique,,,,,,0.0001055297286,-11.25629345,-11.13691145,-9.382390697,17,rod,0.235,0.85,,,0.03346997181,0.6275331326,0.175,0.79,,,0.01759864572,0.4343251844,Steindler2011,"Steindler, L., Schwalbach, M.S., Smith, D.P., Chan, F. and Giovannoni, S.J., 2011. Energy starved Candidatus Pelagibacter ubique substitutes light-mediated ATP production for endogenous carbon respiration. PloS one, 6(5), p.e19725.",p. 2; Figure 1,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
